optimized = [
400 2.731366e+00 3.713820e+01 
500 3.998912e+00 3.998491e+01 
600 5.642117e+00 3.851661e+01 
700 6.289424e+00 4.343235e+01 
800 6.125428e+00 5.054344e+01 
900 8.232451e+00 4.859670e+01 
1000 8.275508e+00 5.617320e+01 
1100 8.538209e+00 5.742482e+01 
1200 1.411984e+01 5.498378e+01 
1300 1.593403e+01 5.956153e+01 
1400 1.126710e+01 6.552985e+01 
1500 1.066467e+01 6.555315e+01 
];
