optimized = [
400 8.906207e+00 3.724062e+01 
500 8.614155e+00 4.028017e+01 
600 1.150007e+01 3.912201e+01 
700 1.476920e+01 4.556048e+01 
800 1.790492e+01 5.051884e+01 
900 2.016514e+01 5.165347e+01 
1000 2.250580e+01 5.493417e+01 
1100 2.469961e+01 6.044557e+01 
1200 2.698819e+01 5.597908e+01 
1300 2.818130e+01 6.351517e+01 
1400 3.047264e+01 6.479746e+01 
1500 3.163059e+01 6.667803e+01 
];
